leaf_path,addition,header_duration_s,autogluon_runtime_s,span_s,training_log_basename,generated_ts,finished_ts,earliest_training_ts,latest_results_ts,n_training_logs,n_results_files,multi_day_gap,notes
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/pareto_AUROC_slope/knee,0,2,,10495,training_20260515_163918_905_77295bfd-ea78-43df-be95-47d0c092733d.txt,2026-05-15T16:39:18,2026-05-15T16:39:20,2026-05-15T16:39:18,2026-05-15T19:34:13,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,2,,10490,training_20260515_163921_506_9bc341ec-9268-4d53-9879-0c63128bc62b.txt,2026-05-15T16:39:21,2026-05-15T16:39:23,2026-05-15T16:39:21,2026-05-15T19:34:11,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP020,0,332,,1045456,training_20260515_163924_111_562db6ff-87d7-4d59-b0cd-a926acf00bb7.txt,2026-05-15T16:39:24,2026-05-15T16:44:56,2026-05-15T16:39:24,2026-05-27T19:03:40,1,5,True,header-precise;multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP050,0,2,,10156,training_20260515_164457_753_d35f4157-f4a0-4085-a3ac-aafa56464605.txt,2026-05-15T16:44:57,2026-05-15T16:44:59,2026-05-15T16:44:57,2026-05-15T19:34:13,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP100,0,1,,10154,training_20260515_164500_060_18842b58-aa55-4fec-b12b-7cf8969d2e60.txt,2026-05-15T16:45:00,2026-05-15T16:45:01,2026-05-15T16:45:00,2026-05-15T19:34:14,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP200,0,2,,10152,training_20260515_164502_666_30125ec3-168d-4e99-8b3a-17f2599dc226.txt,2026-05-15T16:45:02,2026-05-15T16:45:04,2026-05-15T16:45:02,2026-05-15T19:34:14,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP500,0,1,,10148,training_20260515_164505_073_4ec64660-5b5f-405b-836a-c79c435d7a7b.txt,2026-05-15T16:45:05,2026-05-15T16:45:06,2026-05-15T16:45:05,2026-05-15T19:34:13,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/NonHP,0,1,,242840,training_20260515_164507_497_6c6f6f5f-39e7-4bb9-ac4b-224a2d8aabc4.txt,2026-05-15T16:45:07,2026-05-15T16:45:08,2026-05-13T00:07:30,2026-05-15T19:34:50,3,7,True,header-precise;multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,304,,313,training_20260522_174955_938_43fd5017-a108-4ba7-a024-5b09ffeca326.txt,2026-05-22T17:49:55,2026-05-22T17:54:59,2026-05-22T17:49:55,2026-05-22T17:55:08,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/pareto_AUROC_slope/knee,0,1,,9,training_20260522_175509_316_4b94c54d-a840-4b77-a177-30545d8f36b1.txt,2026-05-22T17:55:09,2026-05-22T17:55:10,2026-05-22T17:55:09,2026-05-22T17:55:18,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,1,,10,training_20260522_175519_151_dd0e5ce9-eda4-417d-81cd-3a440f756522.txt,2026-05-22T17:55:19,2026-05-22T17:55:20,2026-05-22T17:55:19,2026-05-22T17:55:29,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/single_AUROC/HP020,0,315,,323,training_20260522_175529_841_a359e7e9-1026-47c6-aa21-a2f2df231bf9.txt,2026-05-22T17:55:29,2026-05-22T18:00:44,2026-05-22T17:55:29,2026-05-22T18:00:52,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/single_AUROC/HP050,0,1,,10,training_20260522_180053_237_869af618-d7ef-4dc3-88f2-d571c2ff586e.txt,2026-05-22T18:00:53,2026-05-22T18:00:54,2026-05-22T18:00:53,2026-05-22T18:01:03,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/single_AUROC/HP100,0,1,,10,training_20260522_180104_178_dd9bdc87-c8b6-4d51-aa1b-4af19933e2f5.txt,2026-05-22T18:01:04,2026-05-22T18:01:05,2026-05-22T18:01:04,2026-05-22T18:01:14,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/single_AUROC/HP200,0,2,,9,training_20260522_180114_910_6fec91c1-cd2a-4525-a35a-6a342a047216.txt,2026-05-22T18:01:14,2026-05-22T18:01:16,2026-05-22T18:01:14,2026-05-22T18:01:23,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/single_AUROC/HP500,0,2,,10,training_20260522_180124_547_0aa886db-24a7-4785-8f4f-56a5dcca288f.txt,2026-05-22T18:01:24,2026-05-22T18:01:26,2026-05-22T18:01:24,2026-05-22T18:01:34,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/NonHP,0,2,,11,training_20260522_145901_765_5ade927f-4445-4fa4-829f-9580e468a436.txt,2026-05-22T14:59:01,2026-05-22T14:59:03,2026-05-22T14:59:01,2026-05-22T14:59:12,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,369,,10189,training_20260515_164509_803_945e4976-89f4-4d39-882c-bd3f43730678.txt,2026-05-15T16:45:09,2026-05-15T16:51:18,2026-05-15T16:45:09,2026-05-15T19:34:58,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/pareto_AUROC_slope/knee,0,1,,9819,training_20260515_165120_001_1d794f8d-a07b-4a04-889f-08ccaa647641.txt,2026-05-15T16:51:20,2026-05-15T16:51:21,2026-05-15T16:51:20,2026-05-15T19:34:59,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,2,,9815,training_20260515_165122_690_388e8d6c-4ca5-434c-9368-730218816c8c.txt,2026-05-15T16:51:22,2026-05-15T16:51:24,2026-05-15T16:51:22,2026-05-15T19:34:57,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/single_AUROC/HP020,0,326,,9816,training_20260515_165125_316_d53ceb2a-2abb-40b8-92d7-0c1b4774fcd0.txt,2026-05-15T16:51:25,2026-05-15T16:56:51,2026-05-15T16:51:25,2026-05-15T19:35:01,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/single_AUROC/HP050,0,2,,9485,training_20260515_165653_240_516bc025-f73a-420e-b17a-b631d8d492cb.txt,2026-05-15T16:56:53,2026-05-15T16:56:55,2026-05-15T16:56:53,2026-05-15T19:34:58,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/single_AUROC/HP100,0,1,,9483,training_20260515_165656_031_f35b25b6-1c86-422b-81c1-5546b11a7b4f.txt,2026-05-15T16:56:56,2026-05-15T16:56:57,2026-05-15T16:56:56,2026-05-15T19:34:59,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/single_AUROC/HP200,0,2,,9480,training_20260515_165658_742_ae9b0c78-f0d2-4be8-b011-77918bf8f6e8.txt,2026-05-15T16:56:58,2026-05-15T16:57:00,2026-05-15T16:56:58,2026-05-15T19:34:58,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/single_AUROC/HP500,0,2,,9506,training_20260515_165701_365_59e4dbd9-a91f-4841-892d-a9d6f1403f4b.txt,2026-05-15T16:57:01,2026-05-15T16:57:03,2026-05-15T16:57:01,2026-05-15T19:35:27,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/NonHP,0,1,,242894,training_20260515_165704_002_bd795109-aa37-47d6-930a-92044b6f15ea.txt,2026-05-15T16:57:04,2026-05-15T16:57:05,2026-05-13T00:07:32,2026-05-15T19:35:46,3,6,True,header-precise;multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,335,,9506,training_20260515_165706_266_c154dcbf-c1d1-469d-88fa-25e32a90af69.txt,2026-05-15T16:57:06,2026-05-15T17:02:41,2026-05-15T16:57:06,2026-05-15T19:35:32,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/pareto_AUROC_slope/knee,0,1,,9169,training_20260515_170242_485_7593ccad-440d-480e-9279-8a0a750f1c0a.txt,2026-05-15T17:02:42,2026-05-15T17:02:43,2026-05-15T17:02:42,2026-05-15T19:35:31,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,2,,9168,training_20260515_170244_827_d5d73f3a-8097-4796-8a58-18d796ca0016.txt,2026-05-15T17:02:44,2026-05-15T17:02:46,2026-05-15T17:02:44,2026-05-15T19:35:32,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/single_AUROC/HP020,0,326,,9165,training_20260515_170247_320_d1b3a523-d45f-4c8a-93b8-312ad4c9cc97.txt,2026-05-15T17:02:47,2026-05-15T17:08:13,2026-05-15T17:02:47,2026-05-15T19:35:32,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/single_AUROC/HP050,0,2,,8838,training_20260515_170814_886_d759ab76-af9d-40f2-a9c7-6586e550cffb.txt,2026-05-15T17:08:14,2026-05-15T17:08:16,2026-05-15T17:08:14,2026-05-15T19:35:32,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/single_AUROC/HP100,0,2,,8836,training_20260515_170817_408_1ae8696d-6bf9-43ff-a431-4c6b6e411bbc.txt,2026-05-15T17:08:17,2026-05-15T17:08:19,2026-05-15T17:08:17,2026-05-15T19:35:33,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/single_AUROC/HP200,0,2,,8861,training_20260515_170819_964_55e6708a-ddfa-496d-b8c5-8a2143539428.txt,2026-05-15T17:08:19,2026-05-15T17:08:21,2026-05-15T17:08:19,2026-05-15T19:36:00,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/single_AUROC/HP500,0,1,,8866,training_20260515_170822_284_2565c713-7915-40fe-8144-ff1bf1ef275b.txt,2026-05-15T17:08:22,2026-05-15T17:08:23,2026-05-15T17:08:22,2026-05-15T19:36:08,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/NonHP,0,1,,242914,training_20260515_170824_580_8317b22c-9f8d-4c98-9e8a-c81a1e4bf6b3.txt,2026-05-15T17:08:24,2026-05-15T17:08:25,2026-05-13T00:07:35,2026-05-15T19:36:09,3,6,True,header-precise;multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,314,,323,training_20260522_180134_756_1935df1c-5f3c-4cd4-a503-6b124ef6b950.txt,2026-05-22T18:01:34,2026-05-22T18:06:48,2026-05-22T18:01:34,2026-05-22T18:06:57,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/pareto_AUROC_slope/knee,0,1,,9,training_20260522_180658_332_21ebb4a7-7ff9-48af-ac13-ca2c06083df4.txt,2026-05-22T18:06:58,2026-05-22T18:06:59,2026-05-22T18:06:58,2026-05-22T18:07:07,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,1,,9,training_20260522_180708_190_5ef26286-be81-4104-b410-46939925e1e1.txt,2026-05-22T18:07:08,2026-05-22T18:07:09,2026-05-22T18:07:08,2026-05-22T18:07:17,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/single_AUROC/HP020,0,318,,436805,training_20260522_180718_222_93efdef8-281f-4cc7-99cb-52f2290b7f69.txt,2026-05-22T18:07:18,2026-05-22T18:12:36,2026-05-22T18:07:18,2026-05-27T19:27:23,1,4,True,header-precise;multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/single_AUROC/HP050,0,2,,10,training_20260522_181246_408_3a2cabe2-ae88-4504-bca7-e4ae6f9ff076.txt,2026-05-22T18:12:46,2026-05-22T18:12:48,2026-05-22T18:12:46,2026-05-22T18:12:56,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/single_AUROC/HP100,0,1,,10,training_20260522_181257_054_4d6375ca-891a-4e8d-b12c-b6ea8522567b.txt,2026-05-22T18:12:57,2026-05-22T18:12:58,2026-05-22T18:12:57,2026-05-22T18:13:07,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/single_AUROC/HP200,0,2,,10,training_20260522_181307_701_89a46939-20cd-4e1d-80e0-bcab45ff5c3d.txt,2026-05-22T18:13:07,2026-05-22T18:13:09,2026-05-22T18:13:07,2026-05-22T18:13:17,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/single_AUROC/HP500,0,2,,10,training_20260522_181317_909_0f26741e-3d8b-428d-b279-4fa18f01f567.txt,2026-05-22T18:13:17,2026-05-22T18:13:19,2026-05-22T18:13:17,2026-05-22T18:13:27,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/NonHP,0,1,,11,training_20260522_145913_020_d1c9d28f-715e-4de2-9b07-c632d266b769.txt,2026-05-22T14:59:13,2026-05-22T14:59:14,2026-05-22T14:59:13,2026-05-22T14:59:24,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,356,,8866,training_20260515_170826_809_716c8db6-9a0e-4578-a977-90a28c4d0948.txt,2026-05-15T17:08:26,2026-05-15T17:14:22,2026-05-15T17:08:26,2026-05-15T19:36:12,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/pareto_AUROC_slope/knee,0,2,,8508,training_20260515_171423_882_469d2e3c-e1d9-4297-84ef-7c3e5034609c.txt,2026-05-15T17:14:23,2026-05-15T17:14:25,2026-05-15T17:14:23,2026-05-15T19:36:11,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,2,,8505,training_20260515_171426_620_bb2d6c1e-6bcf-400b-9249-3c0ab6baaddf.txt,2026-05-15T17:14:26,2026-05-15T17:14:28,2026-05-15T17:14:26,2026-05-15T19:36:11,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/single_AUROC/HP020,0,327,,8505,training_20260515_171429_393_06b68ec3-a963-42fe-a1f8-a42c01ac0d51.txt,2026-05-15T17:14:29,2026-05-15T17:19:56,2026-05-15T17:14:29,2026-05-15T19:36:14,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/single_AUROC/HP050,0,1,,8189,training_20260515_171957_389_b065935f-3676-4f22-ab61-b3b968039905.txt,2026-05-15T17:19:57,2026-05-15T17:19:58,2026-05-15T17:19:57,2026-05-15T19:36:26,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/single_AUROC/HP100,0,2,,8200,training_20260515_171959_739_c2d8f32a-218f-4c0c-b71f-4c8e9420f82e.txt,2026-05-15T17:19:59,2026-05-15T17:20:01,2026-05-15T17:19:59,2026-05-15T19:36:39,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/single_AUROC/HP200,0,1,,8208,training_20260515_172002_322_55c98f72-dca8-465d-8de6-03fdd1b51157.txt,2026-05-15T17:20:02,2026-05-15T17:20:03,2026-05-15T17:20:02,2026-05-15T19:36:50,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/single_AUROC/HP500,0,2,,8207,training_20260515_172004_678_e25250f7-80f7-4a91-b0de-b79bf3625bf5.txt,2026-05-15T17:20:04,2026-05-15T17:20:06,2026-05-15T17:20:04,2026-05-15T19:36:51,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/NonHP,0,1,,242958,training_20260515_192051_019_ba6881dc-4adc-4b7e-b127-fd02f56bc467.txt,2026-05-15T19:20:51,2026-05-15T19:20:52,2026-05-13T00:07:37,2026-05-15T19:36:55,4,6,True,header-precise;multi_day_gap
0/headache/no_rolling_features/stacked_2xgb_meta_lr/70_15_15/chrono/NonHP,0,1,,860221,training_20260515_172008_127_8b1a6255-0771-4fe4-9378-2eb53fb80110.txt,2026-05-15T17:20:08,2026-05-15T17:20:09,2026-05-13T00:07:39,2026-05-22T23:04:40,9,19,True,header-precise;multi_day_gap
0/headache/no_rolling_features/stacked_2xgb_meta_lr/70_15_15/patient/NonHP,0,1,,11,training_20260522_145925_005_63f44b38-dfa8-4ca3-8304-cbf2c02c3e2a.txt,2026-05-22T14:59:25,2026-05-22T14:59:26,2026-05-22T14:59:25,2026-05-22T14:59:36,1,1,False,header-precise
